precinct,office,candidate,votes,jurisdiction
Precinct 1,United States Senator (Democratic),"Berkley, Shelley",5,Esmeralda
Precinct 1,United States Senator (Democratic),"Brown, Steve",1,Esmeralda
Precinct 1,United States Senator (Democratic),"Ellsworth, Barry",3,Esmeralda
Precinct 1,United States Senator (Democratic),"Macias, Louis",0,Esmeralda
Precinct 1,United States Senator (Democratic),None Of These Candidates,3,Esmeralda
Precinct 1,United States Senator (Democratic),"Price, Nancy",1,Esmeralda
Precinct 3,United States Senator (Democratic),"Berkley, Shelley",6,Esmeralda
Precinct 3,United States Senator (Democratic),"Brown, Steve",1,Esmeralda
Precinct 3,United States Senator (Democratic),"Ellsworth, Barry",2,Esmeralda
Precinct 3,United States Senator (Democratic),"Macias, Louis",1,Esmeralda
Precinct 3,United States Senator (Democratic),None Of These Candidates,2,Esmeralda
Precinct 3,United States Senator (Democratic),"Price, Nancy",0,Esmeralda
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Esmeralda
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Esmeralda
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Esmeralda
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Esmeralda
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Esmeralda
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Esmeralda
Precinct 1,United States Senator (Republican),"Brooks, Sherry",2,Esmeralda
Precinct 1,United States Senator (Republican),"Charles, Richard",3,Esmeralda
Precinct 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Esmeralda
Precinct 1,United States Senator (Republican),"Heller, Dean",35,Esmeralda
Precinct 1,United States Senator (Republican),None Of These Candidates,3,Esmeralda
Precinct 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Esmeralda
Precinct 2,United States Senator (Republican),"Brooks, Sherry",2,Esmeralda
Precinct 2,United States Senator (Republican),"Charles, Richard",3,Esmeralda
Precinct 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Esmeralda
Precinct 2,United States Senator (Republican),"Heller, Dean",14,Esmeralda
Precinct 2,United States Senator (Republican),None Of These Candidates,0,Esmeralda
Precinct 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Esmeralda
Precinct 3,United States Senator (Republican),"Brooks, Sherry",4,Esmeralda
Precinct 3,United States Senator (Republican),"Charles, Richard",2,Esmeralda
Precinct 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Esmeralda
Precinct 3,United States Senator (Republican),"Heller, Dean",33,Esmeralda
Precinct 3,United States Senator (Republican),None Of These Candidates,2,Esmeralda
Precinct 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Esmeralda
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Esmeralda
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Esmeralda
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Esmeralda
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Esmeralda
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Esmeralda
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",4,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",6,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",1,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",1,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",3,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",15,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",13,Esmeralda
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",2,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",1,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",1,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",1,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",2,Esmeralda
Precinct 2,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",6,Esmeralda
