precinct,office,candidate,votes,jurisdiction
Precinct 1,United States Senator (Democratic),"Berkley, Shelley",28,Humboldt
Precinct 1,United States Senator (Democratic),"Brown, Steve",7,Humboldt
Precinct 1,United States Senator (Democratic),"Ellsworth, Barry",1,Humboldt
Precinct 1,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 1,United States Senator (Democratic),None Of These Candidates,11,Humboldt
Precinct 1,United States Senator (Democratic),"Price, Nancy",5,Humboldt
Precinct 10,United States Senator (Democratic),"Berkley, Shelley",6,Humboldt
Precinct 10,United States Senator (Democratic),"Brown, Steve",1,Humboldt
Precinct 10,United States Senator (Democratic),"Ellsworth, Barry",1,Humboldt
Precinct 10,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 10,United States Senator (Democratic),None Of These Candidates,10,Humboldt
Precinct 10,United States Senator (Democratic),"Price, Nancy",3,Humboldt
Precinct 13,United States Senator (Democratic),"Berkley, Shelley",12,Humboldt
Precinct 13,United States Senator (Democratic),"Brown, Steve",1,Humboldt
Precinct 13,United States Senator (Democratic),"Ellsworth, Barry",0,Humboldt
Precinct 13,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 13,United States Senator (Democratic),None Of These Candidates,3,Humboldt
Precinct 13,United States Senator (Democratic),"Price, Nancy",3,Humboldt
Precinct 14,United States Senator (Democratic),"Berkley, Shelley",25,Humboldt
Precinct 14,United States Senator (Democratic),"Brown, Steve",3,Humboldt
Precinct 14,United States Senator (Democratic),"Ellsworth, Barry",3,Humboldt
Precinct 14,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 14,United States Senator (Democratic),None Of These Candidates,8,Humboldt
Precinct 14,United States Senator (Democratic),"Price, Nancy",2,Humboldt
Precinct 15,United States Senator (Democratic),"Berkley, Shelley",4,Humboldt
Precinct 15,United States Senator (Democratic),"Brown, Steve",1,Humboldt
Precinct 15,United States Senator (Democratic),"Ellsworth, Barry",0,Humboldt
Precinct 15,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 15,United States Senator (Democratic),None Of These Candidates,4,Humboldt
Precinct 15,United States Senator (Democratic),"Price, Nancy",1,Humboldt
Precinct 2,United States Senator (Democratic),"Berkley, Shelley",45,Humboldt
Precinct 2,United States Senator (Democratic),"Brown, Steve",4,Humboldt
Precinct 2,United States Senator (Democratic),"Ellsworth, Barry",1,Humboldt
Precinct 2,United States Senator (Democratic),"Macias, Louis",5,Humboldt
Precinct 2,United States Senator (Democratic),None Of These Candidates,7,Humboldt
Precinct 2,United States Senator (Democratic),"Price, Nancy",3,Humboldt
