precinct,office,candidate,votes,jurisdiction
PRECINCT 1,United States Senator (Democratic),"Berkley, Shelley",55,Mineral
PRECINCT 1,United States Senator (Democratic),"Brown, Steve",8,Mineral
PRECINCT 1,United States Senator (Democratic),"Ellsworth, Barry",3,Mineral
PRECINCT 1,United States Senator (Democratic),"Macias, Louis",4,Mineral
PRECINCT 1,United States Senator (Democratic),None Of These Candidates,14,Mineral
PRECINCT 1,United States Senator (Democratic),"Price, Nancy",7,Mineral
PRECINCT 10,United States Senator (Democratic),"Berkley, Shelley",0,Mineral
PRECINCT 10,United States Senator (Democratic),"Brown, Steve",0,Mineral
PRECINCT 10,United States Senator (Democratic),"Ellsworth, Barry",0,Mineral
PRECINCT 10,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 10,United States Senator (Democratic),None Of These Candidates,0,Mineral
PRECINCT 10,United States Senator (Democratic),"Price, Nancy",0,Mineral
PRECINCT 11,United States Senator (Democratic),"Berkley, Shelley",24,Mineral
PRECINCT 11,United States Senator (Democratic),"Brown, Steve",4,Mineral
PRECINCT 11,United States Senator (Democratic),"Ellsworth, Barry",2,Mineral
PRECINCT 11,United States Senator (Democratic),"Macias, Louis",1,Mineral
PRECINCT 11,United States Senator (Democratic),None Of These Candidates,4,Mineral
PRECINCT 11,United States Senator (Democratic),"Price, Nancy",2,Mineral
PRECINCT 12,United States Senator (Democratic),"Berkley, Shelley",4,Mineral
PRECINCT 12,United States Senator (Democratic),"Brown, Steve",3,Mineral
PRECINCT 12,United States Senator (Democratic),"Ellsworth, Barry",1,Mineral
PRECINCT 12,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 12,United States Senator (Democratic),None Of These Candidates,3,Mineral
PRECINCT 12,United States Senator (Democratic),"Price, Nancy",6,Mineral
PRECINCT 2,United States Senator (Democratic),"Berkley, Shelley",47,Mineral
PRECINCT 2,United States Senator (Democratic),"Brown, Steve",1,Mineral
PRECINCT 2,United States Senator (Democratic),"Ellsworth, Barry",3,Mineral
PRECINCT 2,United States Senator (Democratic),"Macias, Louis",2,Mineral
PRECINCT 2,United States Senator (Democratic),None Of These Candidates,8,Mineral
PRECINCT 2,United States Senator (Democratic),"Price, Nancy",5,Mineral
PRECINCT 3,United States Senator (Democratic),"Berkley, Shelley",15,Mineral
PRECINCT 3,United States Senator (Democratic),"Brown, Steve",1,Mineral
PRECINCT 3,United States Senator (Democratic),"Ellsworth, Barry",2,Mineral
PRECINCT 3,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 3,United States Senator (Democratic),None Of These Candidates,4,Mineral
PRECINCT 3,United States Senator (Democratic),"Price, Nancy",3,Mineral
PRECINCT 4,United States Senator (Democratic),"Berkley, Shelley",19,Mineral
PRECINCT 4,United States Senator (Democratic),"Brown, Steve",4,Mineral
PRECINCT 4,United States Senator (Democratic),"Ellsworth, Barry",3,Mineral
PRECINCT 4,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 4,United States Senator (Democratic),None Of These Candidates,7,Mineral
PRECINCT 4,United States Senator (Democratic),"Price, Nancy",3,Mineral
PRECINCT 5,United States Senator (Democratic),"Berkley, Shelley",29,Mineral
PRECINCT 5,United States Senator (Democratic),"Brown, Steve",3,Mineral
PRECINCT 5,United States Senator (Democratic),"Ellsworth, Barry",3,Mineral
PRECINCT 5,United States Senator (Democratic),"Macias, Louis",3,Mineral
PRECINCT 5,United States Senator (Democratic),None Of These Candidates,1,Mineral
PRECINCT 5,United States Senator (Democratic),"Price, Nancy",6,Mineral
PRECINCT 6,United States Senator (Democratic),"Berkley, Shelley",22,Mineral
PRECINCT 6,United States Senator (Democratic),"Brown, Steve",3,Mineral
PRECINCT 6,United States Senator (Democratic),"Ellsworth, Barry",3,Mineral
PRECINCT 6,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 6,United States Senator (Democratic),None Of These Candidates,5,Mineral
PRECINCT 6,United States Senator (Democratic),"Price, Nancy",6,Mineral
PRECINCT 9,United States Senator (Democratic),"Berkley, Shelley",8,Mineral
PRECINCT 9,United States Senator (Democratic),"Brown, Steve",2,Mineral
PRECINCT 9,United States Senator (Democratic),"Ellsworth, Barry",1,Mineral
PRECINCT 9,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 9,United States Senator (Democratic),None Of These Candidates,4,Mineral
PRECINCT 9,United States Senator (Democratic),"Price, Nancy",3,Mineral
PRECINCT 99,United States Senator (Democratic),"Berkley, Shelley",0,Mineral
PRECINCT 99,United States Senator (Democratic),"Brown, Steve",0,Mineral
PRECINCT 99,United States Senator (Democratic),"Ellsworth, Barry",0,Mineral
PRECINCT 99,United States Senator (Democratic),"Macias, Louis",0,Mineral
PRECINCT 99,United States Senator (Democratic),None Of These Candidates,0,Mineral
PRECINCT 99,United States Senator (Democratic),"Price, Nancy",0,Mineral
PRECINCT 1,United States Senator (Republican),"Brooks, Sherry",7,Mineral
PRECINCT 1,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Mineral
PRECINCT 1,United States Senator (Republican),"Heller, Dean",106,Mineral
PRECINCT 1,United States Senator (Republican),None Of These Candidates,2,Mineral
PRECINCT 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 10,United States Senator (Republican),"Brooks, Sherry",0,Mineral
PRECINCT 10,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 10,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 10,United States Senator (Republican),"Heller, Dean",0,Mineral
PRECINCT 10,United States Senator (Republican),None Of These Candidates,0,Mineral
PRECINCT 10,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 12,United States Senator (Republican),"Brooks, Sherry",1,Mineral
PRECINCT 12,United States Senator (Republican),"Charles, Richard",2,Mineral
PRECINCT 12,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Mineral
PRECINCT 12,United States Senator (Republican),"Heller, Dean",50,Mineral
PRECINCT 12,United States Senator (Republican),None Of These Candidates,0,Mineral
PRECINCT 12,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 2,United States Senator (Republican),"Brooks, Sherry",1,Mineral
PRECINCT 2,United States Senator (Republican),"Charles, Richard",1,Mineral
PRECINCT 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 2,United States Senator (Republican),"Heller, Dean",54,Mineral
PRECINCT 2,United States Senator (Republican),None Of These Candidates,5,Mineral
PRECINCT 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 3,United States Senator (Republican),"Brooks, Sherry",4,Mineral
PRECINCT 3,United States Senator (Republican),"Charles, Richard",1,Mineral
PRECINCT 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 3,United States Senator (Republican),"Heller, Dean",24,Mineral
PRECINCT 3,United States Senator (Republican),None Of These Candidates,0,Mineral
PRECINCT 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 4,United States Senator (Republican),"Brooks, Sherry",1,Mineral
PRECINCT 4,United States Senator (Republican),"Charles, Richard",1,Mineral
PRECINCT 4,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 4,United States Senator (Republican),"Heller, Dean",33,Mineral
PRECINCT 4,United States Senator (Republican),None Of These Candidates,2,Mineral
PRECINCT 4,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 5,United States Senator (Republican),"Brooks, Sherry",2,Mineral
PRECINCT 5,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 5,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 5,United States Senator (Republican),"Heller, Dean",24,Mineral
PRECINCT 5,United States Senator (Republican),None Of These Candidates,2,Mineral
PRECINCT 5,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Mineral
PRECINCT 6,United States Senator (Republican),"Brooks, Sherry",4,Mineral
PRECINCT 6,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 6,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Mineral
PRECINCT 6,United States Senator (Republican),"Heller, Dean",29,Mineral
PRECINCT 6,United States Senator (Republican),None Of These Candidates,1,Mineral
PRECINCT 6,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 7,United States Senator (Republican),"Brooks, Sherry",3,Mineral
PRECINCT 7,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 7,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 7,United States Senator (Republican),"Heller, Dean",12,Mineral
PRECINCT 7,United States Senator (Republican),None Of These Candidates,0,Mineral
PRECINCT 7,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 9,United States Senator (Republican),"Brooks, Sherry",2,Mineral
PRECINCT 9,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 9,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 9,United States Senator (Republican),"Heller, Dean",24,Mineral
PRECINCT 9,United States Senator (Republican),None Of These Candidates,2,Mineral
PRECINCT 9,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 99,United States Senator (Republican),"Brooks, Sherry",0,Mineral
PRECINCT 99,United States Senator (Republican),"Charles, Richard",0,Mineral
PRECINCT 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Mineral
PRECINCT 99,United States Senator (Republican),"Heller, Dean",0,Mineral
PRECINCT 99,United States Senator (Republican),None Of These Candidates,0,Mineral
PRECINCT 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",1,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",2,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",2,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",3,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",85,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",19,Mineral
PRECINCT 1,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
