precinct,office,candidate,votes,jurisdiction
1 - ALAMO,United States Senator (Democratic),"Berkley, Shelley",26,Lincoln
1 - ALAMO,United States Senator (Democratic),"Brown, Steve",3,Lincoln
1 - ALAMO,United States Senator (Democratic),"Ellsworth, Barry",1,Lincoln
1 - ALAMO,United States Senator (Democratic),"Macias, Louis",2,Lincoln
1 - ALAMO,United States Senator (Democratic),None Of These Candidates,11,Lincoln
1 - ALAMO,United States Senator (Democratic),"Price, Nancy",6,Lincoln
2 - CALIENTE,United States Senator (Democratic),"Berkley, Shelley",39,Lincoln
2 - CALIENTE,United States Senator (Democratic),"Brown, Steve",10,Lincoln
2 - CALIENTE,United States Senator (Democratic),"Ellsworth, Barry",3,Lincoln
2 - CALIENTE,United States Senator (Democratic),"Macias, Louis",0,Lincoln
2 - CALIENTE,United States Senator (Democratic),None Of These Candidates,7,Lincoln
2 - CALIENTE,United States Senator (Democratic),"Price, Nancy",5,Lincoln
3 - PANACA,United States Senator (Democratic),"Berkley, Shelley",10,Lincoln
3 - PANACA,United States Senator (Democratic),"Brown, Steve",1,Lincoln
3 - PANACA,United States Senator (Democratic),"Ellsworth, Barry",4,Lincoln
3 - PANACA,United States Senator (Democratic),"Macias, Louis",0,Lincoln
3 - PANACA,United States Senator (Democratic),None Of These Candidates,5,Lincoln
3 - PANACA,United States Senator (Democratic),"Price, Nancy",2,Lincoln
4 - PIOCHE,United States Senator (Democratic),"Berkley, Shelley",46,Lincoln
4 - PIOCHE,United States Senator (Democratic),"Brown, Steve",3,Lincoln
4 - PIOCHE,United States Senator (Democratic),"Ellsworth, Barry",4,Lincoln
4 - PIOCHE,United States Senator (Democratic),"Macias, Louis",2,Lincoln
4 - PIOCHE,United States Senator (Democratic),None Of These Candidates,10,Lincoln
4 - PIOCHE,United States Senator (Democratic),"Price, Nancy",8,Lincoln
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Lincoln
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Lincoln
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Lincoln
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Lincoln
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Lincoln
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Lincoln
1 - ALAMO,United States Senator (Republican),"Brooks, Sherry",1,Lincoln
1 - ALAMO,United States Senator (Republican),"Charles, Richard",0,Lincoln
1 - ALAMO,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Lincoln
1 - ALAMO,United States Senator (Republican),"Heller, Dean",155,Lincoln
1 - ALAMO,United States Senator (Republican),None Of These Candidates,6,Lincoln
1 - ALAMO,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lincoln
2 - CALIENTE,United States Senator (Republican),"Brooks, Sherry",12,Lincoln
2 - CALIENTE,United States Senator (Republican),"Charles, Richard",1,Lincoln
2 - CALIENTE,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lincoln
2 - CALIENTE,United States Senator (Republican),"Heller, Dean",98,Lincoln
2 - CALIENTE,United States Senator (Republican),None Of These Candidates,7,Lincoln
2 - CALIENTE,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lincoln
3 - PANACA,United States Senator (Republican),"Brooks, Sherry",4,Lincoln
3 - PANACA,United States Senator (Republican),"Charles, Richard",4,Lincoln
3 - PANACA,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Lincoln
3 - PANACA,United States Senator (Republican),"Heller, Dean",134,Lincoln
3 - PANACA,United States Senator (Republican),None Of These Candidates,7,Lincoln
3 - PANACA,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lincoln
4 - PIOCHE,United States Senator (Republican),"Brooks, Sherry",8,Lincoln
4 - PIOCHE,United States Senator (Republican),"Charles, Richard",3,Lincoln
4 - PIOCHE,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lincoln
4 - PIOCHE,United States Senator (Republican),"Heller, Dean",132,Lincoln
4 - PIOCHE,United States Senator (Republican),None Of These Candidates,3,Lincoln
4 - PIOCHE,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lincoln
5 - RACHEL,United States Senator (Republican),"Brooks, Sherry",2,Lincoln
5 - RACHEL,United States Senator (Republican),"Charles, Richard",0,Lincoln
5 - RACHEL,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lincoln
5 - RACHEL,United States Senator (Republican),"Heller, Dean",8,Lincoln
5 - RACHEL,United States Senator (Republican),None Of These Candidates,1,Lincoln
5 - RACHEL,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lincoln
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Lincoln
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Lincoln
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lincoln
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Lincoln
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Lincoln
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",3,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",5,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",4,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",114,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",41,Lincoln
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",5,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",5,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",4,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",2,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",12,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",67,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",16,Lincoln
2 - CALIENTE,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",5,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",6,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",12,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",2,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",3,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",29,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",66,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",30,Lincoln
3 - PANACA,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",5,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",16,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",4,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",1,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",2,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",28,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",67,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",18,Lincoln
4 - PIOCHE,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",0,Lincoln
Precinct 99,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Lincoln
1 - ALAMO,"State Assembly, District 36 (Republican)","Grudzinski, Walt",2,Lincoln
1 - ALAMO,"State Assembly, District 36 (Republican)","Leatham, Delmar W.",119,Lincoln
1 - ALAMO,"State Assembly, District 36 (Republican)","Oscarson, James",9,Lincoln
1 - ALAMO,"State Assembly, District 36 (Republican)","Schlumpf, Nathan ""Nate""",7,Lincoln
2 - CALIENTE,"State Assembly, District 36 (Republican)","Grudzinski, Walt",3,Lincoln
2 - CALIENTE,"State Assembly, District 36 (Republican)","Leatham, Delmar W.",7,Lincoln
