precinct,office,candidate,votes,jurisdiction
Precinct 101,United States Senator (Democratic),"Berkley, Shelley",61,Carson City
Precinct 101,United States Senator (Democratic),"Brown, Steve",6,Carson City
Precinct 101,United States Senator (Democratic),"Ellsworth, Barry",4,Carson City
Precinct 101,United States Senator (Democratic),"Macias, Louis",0,Carson City
Precinct 101,United States Senator (Democratic),None Of These Candidates,6,Carson City
Precinct 101,United States Senator (Democratic),"Price, Nancy",9,Carson City
Precinct 103,United States Senator (Democratic),"Berkley, Shelley",121,Carson City
Precinct 103,United States Senator (Democratic),"Brown, Steve",6,Carson City
Precinct 103,United States Senator (Democratic),"Ellsworth, Barry",4,Carson City
Precinct 103,United States Senator (Democratic),"Macias, Louis",3,Carson City
Precinct 103,United States Senator (Democratic),None Of These Candidates,12,Carson City
Precinct 103,United States Senator (Democratic),"Price, Nancy",4,Carson City
Precinct 105,United States Senator (Democratic),"Berkley, Shelley",97,Carson City
Precinct 105,United States Senator (Democratic),"Brown, Steve",5,Carson City
Precinct 105,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 105,United States Senator (Democratic),"Macias, Louis",4,Carson City
Precinct 105,United States Senator (Democratic),None Of These Candidates,8,Carson City
Precinct 105,United States Senator (Democratic),"Price, Nancy",13,Carson City
Precinct 107,United States Senator (Democratic),"Berkley, Shelley",82,Carson City
Precinct 107,United States Senator (Democratic),"Brown, Steve",4,Carson City
Precinct 107,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 107,United States Senator (Democratic),"Macias, Louis",2,Carson City
Precinct 107,United States Senator (Democratic),None Of These Candidates,14,Carson City
Precinct 107,United States Senator (Democratic),"Price, Nancy",7,Carson City
Precinct 109,United States Senator (Democratic),"Berkley, Shelley",90,Carson City
Precinct 109,United States Senator (Democratic),"Brown, Steve",9,Carson City
Precinct 109,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 109,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 109,United States Senator (Democratic),None Of These Candidates,16,Carson City
Precinct 109,United States Senator (Democratic),"Price, Nancy",8,Carson City
Precinct 111,United States Senator (Democratic),"Berkley, Shelley",52,Carson City
Precinct 111,United States Senator (Democratic),"Brown, Steve",4,Carson City
Precinct 111,United States Senator (Democratic),"Ellsworth, Barry",2,Carson City
Precinct 111,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 111,United States Senator (Democratic),None Of These Candidates,5,Carson City
Precinct 111,United States Senator (Democratic),"Price, Nancy",4,Carson City
Precinct 113,United States Senator (Democratic),"Berkley, Shelley",106,Carson City
Precinct 113,United States Senator (Democratic),"Brown, Steve",8,Carson City
Precinct 113,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 113,United States Senator (Democratic),"Macias, Louis",2,Carson City
Precinct 113,United States Senator (Democratic),None Of These Candidates,12,Carson City
Precinct 113,United States Senator (Democratic),"Price, Nancy",7,Carson City
Precinct 201,United States Senator (Democratic),"Berkley, Shelley",62,Carson City
Precinct 201,United States Senator (Democratic),"Brown, Steve",7,Carson City
