precinct,office,candidate,votes,jurisdiction
Precinct 01,United States Senator (Democratic),"Berkley, Shelley",36,Churchill
Precinct 01,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 01,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 01,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 01,United States Senator (Democratic),None Of These Candidates,3,Churchill
Precinct 01,United States Senator (Democratic),"Price, Nancy",4,Churchill
Precinct 02,United States Senator (Democratic),"Berkley, Shelley",32,Churchill
Precinct 02,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 02,United States Senator (Democratic),"Ellsworth, Barry",0,Churchill
Precinct 02,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 02,United States Senator (Democratic),None Of These Candidates,5,Churchill
Precinct 02,United States Senator (Democratic),"Price, Nancy",0,Churchill
Precinct 03,United States Senator (Democratic),"Berkley, Shelley",42,Churchill
Precinct 03,United States Senator (Democratic),"Brown, Steve",6,Churchill
Precinct 03,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 03,United States Senator (Democratic),"Macias, Louis",3,Churchill
Precinct 03,United States Senator (Democratic),None Of These Candidates,7,Churchill
Precinct 03,United States Senator (Democratic),"Price, Nancy",5,Churchill
Precinct 04,United States Senator (Democratic),"Berkley, Shelley",21,Churchill
Precinct 04,United States Senator (Democratic),"Brown, Steve",4,Churchill
Precinct 04,United States Senator (Democratic),"Ellsworth, Barry",5,Churchill
Precinct 04,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 04,United States Senator (Democratic),None Of These Candidates,5,Churchill
Precinct 04,United States Senator (Democratic),"Price, Nancy",2,Churchill
Precinct 05,United States Senator (Democratic),"Berkley, Shelley",27,Churchill
Precinct 05,United States Senator (Democratic),"Brown, Steve",4,Churchill
Precinct 05,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 05,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 05,United States Senator (Democratic),None Of These Candidates,4,Churchill
Precinct 05,United States Senator (Democratic),"Price, Nancy",3,Churchill
Precinct 06,United States Senator (Democratic),"Berkley, Shelley",28,Churchill
Precinct 06,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 06,United States Senator (Democratic),"Ellsworth, Barry",3,Churchill
Precinct 06,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 06,United States Senator (Democratic),None Of These Candidates,3,Churchill
Precinct 06,United States Senator (Democratic),"Price, Nancy",4,Churchill
Precinct 07,United States Senator (Democratic),"Berkley, Shelley",45,Churchill
Precinct 07,United States Senator (Democratic),"Brown, Steve",3,Churchill
Precinct 07,United States Senator (Democratic),"Ellsworth, Barry",3,Churchill
Precinct 07,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 07,United States Senator (Democratic),None Of These Candidates,4,Churchill
Precinct 07,United States Senator (Democratic),"Price, Nancy",5,Churchill
Precinct 08,United States Senator (Democratic),"Berkley, Shelley",20,Churchill
Precinct 08,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 08,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 08,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 08,United States Senator (Democratic),None Of These Candidates,6,Churchill
Precinct 08,United States Senator (Democratic),"Price, Nancy",3,Churchill
Precinct 09,United States Senator (Democratic),"Berkley, Shelley",16,Churchill
Precinct 09,United States Senator (Democratic),"Brown, Steve",1,Churchill
Precinct 09,United States Senator (Democratic),"Ellsworth, Barry",1,Churchill
Precinct 09,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 09,United States Senator (Democratic),None Of These Candidates,4,Churchill
Precinct 09,United States Senator (Democratic),"Price, Nancy",5,Churchill
