precinct,office,candidate,votes,jurisdiction
Precinct 1,United States Senator (Democratic),"Berkley, Shelley",11,Eureka
Precinct 1,United States Senator (Democratic),"Brown, Steve",1,Eureka
Precinct 1,United States Senator (Democratic),"Ellsworth, Barry",0,Eureka
Precinct 1,United States Senator (Democratic),"Macias, Louis",0,Eureka
Precinct 1,United States Senator (Democratic),None Of These Candidates,3,Eureka
Precinct 1,United States Senator (Democratic),"Price, Nancy",5,Eureka
Precinct 2,United States Senator (Democratic),"Berkley, Shelley",15,Eureka
Precinct 2,United States Senator (Democratic),"Brown, Steve",1,Eureka
Precinct 2,United States Senator (Democratic),"Ellsworth, Barry",1,Eureka
Precinct 2,United States Senator (Democratic),"Macias, Louis",0,Eureka
Precinct 2,United States Senator (Democratic),None Of These Candidates,4,Eureka
Precinct 2,United States Senator (Democratic),"Price, Nancy",2,Eureka
Precinct 4,United States Senator (Democratic),"Berkley, Shelley",4,Eureka
Precinct 4,United States Senator (Democratic),"Brown, Steve",3,Eureka
Precinct 4,United States Senator (Democratic),"Ellsworth, Barry",0,Eureka
Precinct 4,United States Senator (Democratic),"Macias, Louis",0,Eureka
Precinct 4,United States Senator (Democratic),None Of These Candidates,5,Eureka
Precinct 4,United States Senator (Democratic),"Price, Nancy",3,Eureka
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Eureka
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Eureka
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Eureka
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Eureka
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Eureka
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Eureka
Precinct 1,United States Senator (Republican),"Brooks, Sherry",4,Eureka
Precinct 1,United States Senator (Republican),"Charles, Richard",1,Eureka
Precinct 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Eureka
Precinct 1,United States Senator (Republican),"Heller, Dean",130,Eureka
Precinct 1,United States Senator (Republican),None Of These Candidates,16,Eureka
Precinct 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Eureka
Precinct 2,United States Senator (Republican),"Brooks, Sherry",7,Eureka
Precinct 2,United States Senator (Republican),"Charles, Richard",1,Eureka
Precinct 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Eureka
Precinct 2,United States Senator (Republican),"Heller, Dean",94,Eureka
Precinct 2,United States Senator (Republican),None Of These Candidates,18,Eureka
Precinct 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Eureka
Precinct 3,United States Senator (Republican),"Brooks, Sherry",2,Eureka
Precinct 3,United States Senator (Republican),"Charles, Richard",0,Eureka
Precinct 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Eureka
Precinct 3,United States Senator (Republican),"Heller, Dean",49,Eureka
Precinct 3,United States Senator (Republican),None Of These Candidates,1,Eureka
Precinct 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Eureka
Precinct 4,United States Senator (Republican),"Brooks, Sherry",3,Eureka
Precinct 4,United States Senator (Republican),"Charles, Richard",2,Eureka
Precinct 4,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Eureka
Precinct 4,United States Senator (Republican),"Heller, Dean",39,Eureka
Precinct 4,United States Senator (Republican),None Of These Candidates,7,Eureka
Precinct 4,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Eureka
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Eureka
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Eureka
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Eureka
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Eureka
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Eureka
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Eureka
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",6,Eureka
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",7,Eureka
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",2,Eureka
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Eureka
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",12,Eureka
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",2,Eureka
Precinct 4,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Eureka
