precinct,office,candidate,votes,jurisdiction
Precinct 1,United States Senator (Democratic),"Berkley, Shelley",35,White Pine
Precinct 1,United States Senator (Democratic),"Brown, Steve",5,White Pine
Precinct 1,United States Senator (Democratic),"Ellsworth, Barry",4,White Pine
Precinct 1,United States Senator (Democratic),"Macias, Louis",4,White Pine
Precinct 1,United States Senator (Democratic),None Of These Candidates,29,White Pine
Precinct 1,United States Senator (Democratic),"Price, Nancy",5,White Pine
Precinct 10,United States Senator (Democratic),"Berkley, Shelley",11,White Pine
Precinct 10,United States Senator (Democratic),"Brown, Steve",0,White Pine
Precinct 10,United States Senator (Democratic),"Ellsworth, Barry",2,White Pine
Precinct 10,United States Senator (Democratic),"Macias, Louis",3,White Pine
Precinct 10,United States Senator (Democratic),None Of These Candidates,6,White Pine
Precinct 10,United States Senator (Democratic),"Price, Nancy",5,White Pine
Precinct 2,United States Senator (Democratic),"Berkley, Shelley",29,White Pine
Precinct 2,United States Senator (Democratic),"Brown, Steve",14,White Pine
Precinct 2,United States Senator (Democratic),"Ellsworth, Barry",5,White Pine
Precinct 2,United States Senator (Democratic),"Macias, Louis",0,White Pine
Precinct 2,United States Senator (Democratic),None Of These Candidates,19,White Pine
Precinct 2,United States Senator (Democratic),"Price, Nancy",4,White Pine
Precinct 3,United States Senator (Democratic),"Berkley, Shelley",29,White Pine
Precinct 3,United States Senator (Democratic),"Brown, Steve",4,White Pine
Precinct 3,United States Senator (Democratic),"Ellsworth, Barry",3,White Pine
Precinct 3,United States Senator (Democratic),"Macias, Louis",1,White Pine
Precinct 3,United States Senator (Democratic),None Of These Candidates,20,White Pine
Precinct 3,United States Senator (Democratic),"Price, Nancy",6,White Pine
Precinct 4,United States Senator (Democratic),"Berkley, Shelley",44,White Pine
Precinct 4,United States Senator (Democratic),"Brown, Steve",14,White Pine
Precinct 4,United States Senator (Democratic),"Ellsworth, Barry",4,White Pine
Precinct 4,United States Senator (Democratic),"Macias, Louis",2,White Pine
Precinct 4,United States Senator (Democratic),None Of These Candidates,21,White Pine
Precinct 4,United States Senator (Democratic),"Price, Nancy",6,White Pine
Precinct 5,United States Senator (Democratic),"Berkley, Shelley",43,White Pine
