precinct,office,candidate,votes,jurisdiction
PRECINCT 1,United States Senator (Democratic),"Berkley, Shelley",28,Storey
PRECINCT 1,United States Senator (Democratic),"Brown, Steve",3,Storey
PRECINCT 1,United States Senator (Democratic),"Ellsworth, Barry",2,Storey
PRECINCT 1,United States Senator (Democratic),"Macias, Louis",1,Storey
PRECINCT 1,United States Senator (Democratic),None Of These Candidates,6,Storey
PRECINCT 1,United States Senator (Democratic),"Price, Nancy",2,Storey
PRECINCT 10,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 10,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 10,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 10,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 10,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 10,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 11,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 11,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 11,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 11,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 11,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 11,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 12,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 12,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 12,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 12,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 12,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 12,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 13,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 13,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 13,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 13,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 13,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 13,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 14,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 14,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 14,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 14,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 14,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 14,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 2,United States Senator (Democratic),"Berkley, Shelley",34,Storey
PRECINCT 2,United States Senator (Democratic),"Brown, Steve",3,Storey
PRECINCT 2,United States Senator (Democratic),"Ellsworth, Barry",1,Storey
PRECINCT 2,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 2,United States Senator (Democratic),None Of These Candidates,8,Storey
PRECINCT 2,United States Senator (Democratic),"Price, Nancy",4,Storey
PRECINCT 3,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 3,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 3,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 3,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 3,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 3,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 4,United States Senator (Democratic),"Berkley, Shelley",20,Storey
PRECINCT 4,United States Senator (Democratic),"Brown, Steve",3,Storey
PRECINCT 4,United States Senator (Democratic),"Ellsworth, Barry",1,Storey
PRECINCT 4,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 4,United States Senator (Democratic),None Of These Candidates,6,Storey
PRECINCT 4,United States Senator (Democratic),"Price, Nancy",7,Storey
PRECINCT 5,United States Senator (Democratic),"Berkley, Shelley",43,Storey
PRECINCT 5,United States Senator (Democratic),"Brown, Steve",2,Storey
PRECINCT 5,United States Senator (Democratic),"Ellsworth, Barry",5,Storey
PRECINCT 5,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 5,United States Senator (Democratic),None Of These Candidates,3,Storey
PRECINCT 5,United States Senator (Democratic),"Price, Nancy",6,Storey
PRECINCT 6,United States Senator (Democratic),"Berkley, Shelley",57,Storey
PRECINCT 6,United States Senator (Democratic),"Brown, Steve",6,Storey
PRECINCT 6,United States Senator (Democratic),"Ellsworth, Barry",4,Storey
PRECINCT 6,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 6,United States Senator (Democratic),None Of These Candidates,10,Storey
PRECINCT 6,United States Senator (Democratic),"Price, Nancy",5,Storey
PRECINCT 7,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 7,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 7,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 7,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 7,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 7,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 8,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 8,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 8,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 8,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 8,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 8,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 9,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 9,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 9,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 9,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 9,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 9,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 99,United States Senator (Democratic),"Berkley, Shelley",0,Storey
PRECINCT 99,United States Senator (Democratic),"Brown, Steve",0,Storey
PRECINCT 99,United States Senator (Democratic),"Ellsworth, Barry",0,Storey
PRECINCT 99,United States Senator (Democratic),"Macias, Louis",0,Storey
PRECINCT 99,United States Senator (Democratic),None Of These Candidates,0,Storey
PRECINCT 99,United States Senator (Democratic),"Price, Nancy",0,Storey
PRECINCT 1,United States Senator (Republican),"Brooks, Sherry",4,Storey
PRECINCT 1,United States Senator (Republican),"Charles, Richard",0,Storey
