county,precinct,office,district,candidate,votes
Carson City,101,President,,Darrell Castle,5
Carson City,101,President,,Hillary Clinton,354
Carson City,101,President,,Roque De La Fuente,3
Carson City,101,President,,Gary Johnson,39
Carson City,101,President,,None Of These Candidates,39
Carson City,101,President,,Donald Trump,419
Carson City,101,State House,40,Michael Greedy,305
Carson City,101,State House,40,Al Kramer,435
Carson City,101,State House,40,John Wagner,75
Carson City,101,U.S. House,2,Mark Amodei,450
Carson City,101,U.S. House,2,H.D. Evans,327
Carson City,101,U.S. House,2,John Everhart,26
Carson City,101,U.S. House,2,Drew Knight,22
Carson City,101,U.S. Senate,,Catherine Cortez Masto,342
Carson City,101,U.S. Senate,,Tony Gumina,6
Carson City,101,U.S. Senate,,Joe Heck,410
Carson City,101,U.S. Senate,,Tom Jones,17
Carson City,101,U.S. Senate,,None Of These Candidates,40
Carson City,101,U.S. Senate,,Thomas Sawyer,28
Carson City,101,U.S. Senate,,Jarrod Williams,6
Carson City,103,President,,Darrell Castle,6
Carson City,103,President,,Hillary Clinton,392
Carson City,103,President,,Roque De La Fuente,1
Carson City,103,President,,Gary Johnson,25
Carson City,103,President,,None Of These Candidates,37
Carson City,103,President,,Donald Trump,476
Carson City,103,State House,40,Michael Greedy,307
Carson City,103,State House,40,Al Kramer,554
Carson City,103,State House,40,John Wagner,45
Carson City,103,U.S. House,2,Mark Amodei,560
Carson City,103,U.S. House,2,H.D. Evans,343
Carson City,103,U.S. House,2,John Everhart,9
Carson City,103,U.S. House,2,Drew Knight,13
Carson City,103,U.S. Senate,,Catherine Cortez Masto,389
Carson City,103,U.S. Senate,,Tony Gumina,7
Carson City,103,U.S. Senate,,Joe Heck,503
Carson City,103,U.S. Senate,,Tom Jones,11
Carson City,103,U.S. Senate,,None Of These Candidates,17
Carson City,103,U.S. Senate,,Thomas Sawyer,3
Carson City,103,U.S. Senate,,Jarrod Williams,1
Carson City,105,President,,Darrell Castle,8
Carson City,105,President,,Hillary Clinton,375
Carson City,105,President,,Roque De La Fuente,1
Carson City,105,President,,Gary Johnson,39
Carson City,105,President,,None Of These Candidates,51
Carson City,105,President,,Donald Trump,608
Carson City,105,State House,40,Michael Greedy,295
Carson City,105,State House,40,Al Kramer,707
Carson City,105,State House,40,John Wagner,47
Carson City,105,U.S. House,2,Mark Amodei,718
Carson City,105,U.S. House,2,H.D. Evans,316
Carson City,105,U.S. House,2,John Everhart,18
Carson City,105,U.S. House,2,Drew Knight,14
Carson City,105,U.S. Senate,,Catherine Cortez Masto,374
Carson City,105,U.S. Senate,,Tony Gumina,2
Carson City,105,U.S. Senate,,Joe Heck,669
Carson City,105,U.S. Senate,,Tom Jones,9
Carson City,105,U.S. Senate,,None Of These Candidates,17
Carson City,105,U.S. Senate,,Thomas Sawyer,7
Carson City,105,U.S. Senate,,Jarrod Williams,0
Carson City,107,President,,Darrell Castle,8
Carson City,107,President,,Hillary Clinton,376
Carson City,107,President,,Roque De La Fuente,1
Carson City,107,President,,Gary Johnson,39
Carson City,107,President,,None Of These Candidates,50
Carson City,107,President,,Donald Trump,617
Carson City,107,State House,40,Michael Greedy,296
Carson City,107,State House,40,Al Kramer,685
Carson City,107,State House,40,John Wagner,50
Carson City,107,U.S. House,2,Mark Amodei,707
Carson City,107,U.S. House,2,H.D. Evans,330
Carson City,107,U.S. House,2,John Everhart,13
Carson City,107,U.S. House,2,Drew Knight,11
Carson City,107,U.S. Senate,,Catherine Cortez Masto,397
Carson City,107,U.S. Senate,,Tony Gumina,4
Carson City,107,U.S. Senate,,Joe Heck,643
Carson City,107,U.S. Senate,,Tom Jones,8
Carson City,107,U.S. Senate,,None Of These Candidates,23
Carson City,107,U.S. Senate,,Thomas Sawyer,8
Carson City,107,U.S. Senate,,Jarrod Williams,2
Carson City,109,President,,Darrell Castle,11
Carson City,109,President,,Hillary Clinton,482
Carson City,109,President,,Roque De La Fuente,0
Carson City,109,President,,Gary Johnson,47
Carson City,109,President,,None Of These Candidates,35
Carson City,109,President,,Donald Trump,606
Carson City,109,State House,40,Michael Greedy,366
Carson City,109,State House,40,Al Kramer,688
Carson City,109,State House,40,John Wagner,66
Carson City,109,U.S. House,2,Mark Amodei,718
Carson City,109,U.S. House,2,H.D. Evans,376
Carson City,109,U.S. House,2,John Everhart,34
Carson City,109,U.S. House,2,Drew Knight,18
Carson City,109,U.S. Senate,,Catherine Cortez Masto,469
Carson City,109,U.S. Senate,,Tony Gumina,12
Carson City,109,U.S. Senate,,Joe Heck,622
Carson City,109,U.S. Senate,,Tom Jones,16
Carson City,109,U.S. Senate,,None Of These Candidates,32
Carson City,109,U.S. Senate,,Thomas Sawyer,16
Carson City,109,U.S. Senate,,Jarrod Williams,4
Carson City,111,President,,Darrell Castle,4
Carson City,111,President,,Hillary Clinton,516
Carson City,111,President,,Roque De La Fuente,5
Carson City,111,President,,Gary Johnson,80
Carson City,111,President,,None Of These Candidates,25
Carson City,111,President,,Donald Trump,528
Carson City,111,State House,40,Michael Greedy,457
Carson City,111,State House,40,Al Kramer,549
Carson City,111,State House,40,John Wagner,87
Carson City,111,U.S. House,2,Mark Amodei,564
Carson City,111,U.S. House,2,H.D. Evans,463
Carson City,111,U.S. House,2,John Everhart,45
Carson City,111,U.S. House,2,Drew Knight,34
Carson City,111,U.S. Senate,,Catherine Cortez Masto,519
Carson City,111,U.S. Senate,,Tony Gumina,13
Carson City,111,U.S. Senate,,Joe Heck,514
Carson City,111,U.S. Senate,,Tom Jones,25
Carson City,111,U.S. Senate,,None Of These Candidates,54
Carson City,111,U.S. Senate,,Thomas Sawyer,17
Carson City,111,U.S. Senate,,Jarrod Williams,8
Carson City,113,President,,Darrell Castle,5
Carson City,113,President,,Hillary Clinton,445
Carson City,113,President,,Roque De La Fuente,3
Carson City,113,President,,Gary Johnson,45
Carson City,113,President,,None Of These Candidates,39
Carson City,113,President,,Donald Trump,783
Carson City,113,State House,40,Michael Greedy,378
Carson City,113,State House,40,Al Kramer,823
Carson City,113,State House,40,John Wagner,73
Carson City,113,U.S. House,2,Mark Amodei,841
