jurisdiction,precinct,office,party,candidate,votes
Carson City,101,President,Democratic,Hillary Clinton,3
Carson City,103,President,Democratic,Hillary Clinton,4
Carson City,105,President,Democratic,Hillary Clinton,3
Carson City,107,President,Democratic,Hillary Clinton,3
Carson City,109,President,Democratic,Hillary Clinton,4
Carson City,111,President,Democratic,Hillary Clinton,3
Carson City,113,President,Democratic,Hillary Clinton,4
Carson City,201,President,Democratic,Hillary Clinton,3
Carson City,203,President,Democratic,Hillary Clinton,4
Carson City,205,President,Democratic,Hillary Clinton,4
Carson City,207,President,Democratic,Hillary Clinton,3
Carson City,209,President,Democratic,Hillary Clinton,2
Carson City,211,President,Democratic,Hillary Clinton,2
Carson City,301,President,Democratic,Hillary Clinton,3
Carson City,303,President,Democratic,Hillary Clinton,3
Carson City,305,President,Democratic,Hillary Clinton,4
Carson City,307,President,Democratic,Hillary Clinton,6
Carson City,309,President,Democratic,Hillary Clinton,5
Carson City,401,President,Democratic,Hillary Clinton,3
Carson City,403,President,Democratic,Hillary Clinton,5
Carson City,405,President,Democratic,Hillary Clinton,4
Carson City,407,President,Democratic,Hillary Clinton,3
Carson City,409,President,Democratic,Hillary Clinton,3
Carson City,411,President,Democratic,Hillary Clinton,2
Churchill,1,President,Democratic,Hillary Clinton,3
Churchill,10,President,Democratic,Hillary Clinton,3
Churchill,11,President,Democratic,Hillary Clinton,3
Churchill,12,President,Democratic,Hillary Clinton,0
Churchill,13,President,Democratic,Hillary Clinton,1
Churchill,14,President,Democratic,Hillary Clinton,1
Churchill,15,President,Democratic,Hillary Clinton,2
Churchill,16,President,Democratic,Hillary Clinton,2
Churchill,17,President,Democratic,Hillary Clinton,2
Churchill,18,President,Democratic,Hillary Clinton,5
Churchill,19,President,Democratic,Hillary Clinton,2
Churchill,2,President,Democratic,Hillary Clinton,4
Churchill,3,President,Democratic,Hillary Clinton,3
Churchill,4,President,Democratic,Hillary Clinton,4
Churchill,5,President,Democratic,Hillary Clinton,3
Churchill,6,President,Democratic,Hillary Clinton,1
Churchill,7,President,Democratic,Hillary Clinton,4
Churchill,8,President,Democratic,Hillary Clinton,2
Churchill,9,President,Democratic,Hillary Clinton,1
Clark,1038,President,Democratic,Hillary Clinton,2
Clark,1039,President,Democratic,Hillary Clinton,3
Clark,1063,President,Democratic,Hillary Clinton,5
Clark,1067,President,Democratic,Hillary Clinton,1
Clark,1072,President,Democratic,Hillary Clinton,1
Clark,1074,President,Democratic,Hillary Clinton,7
Clark,1137,President,Democratic,Hillary Clinton,5
Clark,1302,President,Democratic,Hillary Clinton,7
Clark,1303,President,Democratic,Hillary Clinton,5
Clark,1304,President,Democratic,Hillary Clinton,3
Clark,1307,President,Democratic,Hillary Clinton,6
Clark,1318,President,Democratic,Hillary Clinton,5
Clark,1327,President,Democratic,Hillary Clinton,7
Clark,1328,President,Democratic,Hillary Clinton,5
Clark,1330,President,Democratic,Hillary Clinton,6
Clark,1331,President,Democratic,Hillary Clinton,6
Clark,1332,President,Democratic,Hillary Clinton,2
Clark,1333,President,Democratic,Hillary Clinton,6
Clark,1334,President,Democratic,Hillary Clinton,5
